                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 2.3961,                  2.263,                 1.7287,                 1.1097,                0.28604,                0.46296,                0.37603,                0.08211,                0.25127,                0.55556,                0.30839,                0.06045,                 3.0853,                 2.2357,                 1.8484,                0.98349,               0.001502,               0.001502,               0.001502
                    102,                 2.1205,                 1.9929,                 1.5312,                  1.262,                0.25585,                0.44444,                0.31457,                0.07265,                0.43832,                0.44444,                0.43051,                0.09607,                 3.0638,                 1.8503,                 1.8601,                0.98714,              0.0015003,              0.0015003,              0.0015003
                    103,                 2.2862,                 1.9366,                 1.5858,                 1.0981,                0.25585,                0.44444,                0.31457,                0.07265,                0.43832,                0.44444,                0.43051,                0.09607,                 3.0638,                 1.8503,                 1.8601,                0.98714,              0.0014987,              0.0014987,              0.0014987
                    104,                 2.2595,                 1.7182,                  1.679,                 1.1615,                0.24028,                0.61111,                0.33709,                0.07445,                0.27942,                0.30374,                0.27497,                0.06916,                 2.9476,                 1.9545,                 1.6211,                  0.933,               0.001497,               0.001497,               0.001497
                    105,                  2.113,                 1.9152,                 1.6387,                 1.2614,                0.24028,                0.61111,                0.33709,                0.07445,                0.27942,                0.30374,                0.27497,                0.06916,                 2.9476,                 1.9545,                 1.6211,                  0.933,              0.0014954,              0.0014954,              0.0014954
                    106,                 2.1337,                 1.9642,                  1.558,                 1.2005,                0.41559,                0.37037,                0.44746,                0.12178,                0.31163,                0.44444,                0.30954,                0.08117,                 2.9456,                 1.7888,                 1.4818,                0.90059,              0.0014937,              0.0014937,              0.0014937
                    107,                 2.0922,                 1.8423,                 1.5361,                 1.1543,                0.41559,                0.37037,                0.44746,                0.12178,                0.31163,                0.44444,                0.30954,                0.08117,                 2.9456,                 1.7888,                 1.4818,                0.90059,              0.0014921,              0.0014921,              0.0014921
                    108,                 2.3577,                 1.8331,                 1.6346,                 1.0863,                0.35707,                0.53565,                0.42649,                0.12453,                0.35549,                0.55556,                0.39906,                 0.1048,                 2.9329,                 1.7551,                 1.4984,                0.88158,              0.0014904,              0.0014904,              0.0014904
                    109,                 2.4781,                 1.7389,                 1.8218,                 1.1338,                0.35707,                0.53565,                0.42649,                0.12453,                0.35549,                0.55556,                0.39906,                 0.1048,                 2.9329,                 1.7551,                 1.4984,                0.88158,              0.0014888,              0.0014888,              0.0014888
                    110,                 2.3299,                  2.397,                 1.5656,                 1.1271,                0.34084,                    0.5,                0.40362,                0.10315,                0.29748,                0.59259,                0.37449,                 0.1017,                 3.0599,                 1.7751,                  1.549,                0.90359,              0.0014871,              0.0014871,              0.0014871
                    111,                 2.3962,                 1.9212,                 1.5861,                 1.2372,                0.34084,                    0.5,                0.40362,                0.10315,                0.29748,                0.59259,                0.37449,                 0.1017,                 3.0599,                 1.7751,                  1.549,                0.90359,              0.0014855,              0.0014855,              0.0014855
                    112,                 2.7189,                 2.3133,                 1.8927,                 1.3026,                0.41381,                0.44444,                0.38769,                0.09001,                0.22602,                0.62963,                0.27923,                0.07251,                  3.178,                 1.7355,                 1.6252,                0.92307,              0.0014838,              0.0014838,              0.0014838
                    113,                 2.2766,                 1.6433,                 1.4766,                  1.138,                0.41381,                0.44444,                0.38769,                0.09001,                0.22602,                0.62963,                0.27923,                0.07251,                  3.178,                 1.7355,                 1.6252,                0.92307,              0.0014822,              0.0014822,              0.0014822
                    114,                 2.0794,                 1.6895,                 1.4103,                 1.1692,                0.33099,                0.46296,                 0.3722,                0.09617,                0.29104,                0.49442,                0.28386,                0.07269,                 3.1607,                 1.8057,                 1.5996,                0.96402,              0.0014805,              0.0014805,              0.0014805
                    115,                 2.4184,                 1.7882,                 1.6141,                 1.2042,                0.33099,                0.46296,                 0.3722,                0.09617,                0.29104,                0.49442,                0.28386,                0.07269,                 3.1607,                 1.8057,                 1.5996,                0.96402,              0.0014789,              0.0014789,              0.0014789
                    116,                 2.1544,                 1.5307,                 1.4011,                 1.1873,                 0.2952,                    0.5,                0.36958,                0.12879,                 0.4254,                0.40741,                0.42967,                 0.1224,                 2.8855,                  1.801,                 1.5764,                0.89386,              0.0014772,              0.0014772,              0.0014772
                    117,                 2.1439,                 1.6451,                 1.3169,                  1.121,                 0.2952,                    0.5,                0.36958,                0.12879,                 0.4254,                0.40741,                0.42967,                 0.1224,                 2.8855,                  1.801,                 1.5764,                0.89386,              0.0014756,              0.0014756,              0.0014756
                    118,                 2.2016,                 1.7323,                 1.4157,                 1.1119,                 0.2676,                0.57407,                0.37582,                0.13702,                0.26943,                0.59259,                0.39925,                0.11736,                 2.7563,                 1.7144,                  1.583,                0.86539,              0.0014739,              0.0014739,              0.0014739
                    119,                 2.0955,                  1.334,                 1.4026,                 1.1981,                 0.2676,                0.57407,                0.37582,                0.13702,                0.26943,                0.59259,                0.39925,                0.11736,                 2.7563,                 1.7144,                  1.583,                0.86539,              0.0014723,              0.0014723,              0.0014723
                    120,                 2.2474,                 1.5592,                 1.5257,                 1.1707,                0.26563,                0.57407,                0.41956,                 0.1407,                0.27373,                0.62963,                 0.3972,                0.12652,                 2.7315,                 1.7623,                 1.5636,                0.87125,              0.0014706,              0.0014706,              0.0014706
                    121,                 2.2271,                 1.6643,                 1.4405,                 1.0946,                0.26563,                0.57407,                0.41956,                 0.1407,                0.27373,                0.62963,                 0.3972,                0.12652,                 2.7315,                 1.7623,                 1.5636,                0.87125,               0.001469,               0.001469,               0.001469
                    122,                 2.4043,                 1.6396,                 1.6023,                   1.14,                0.31678,                0.50261,                 0.4033,                0.13305,                0.29507,                0.53704,                 0.3595,                 0.1151,                 2.8621,                 1.9709,                 1.6258,                0.87587,              0.0014673,              0.0014673,              0.0014673
                    123,                 2.0675,                 1.6028,                 1.3965,                 1.1502,                0.31678,                0.50261,                 0.4033,                0.13305,                0.29507,                0.53704,                 0.3595,                 0.1151,                 2.8621,                 1.9709,                 1.6258,                0.87587,              0.0014657,              0.0014657,              0.0014657
                    124,                 2.2018,                 1.8744,                 1.4569,                 1.1428,                0.33992,                0.48298,                0.40083,                 0.1116,                0.38872,                0.53704,                 0.4035,                0.13887,                 2.9148,                 1.7449,                 1.5974,                0.85259,               0.001464,               0.001464,               0.001464
                    125,                 2.0945,                 1.7308,                 1.4002,                 1.1733,                0.33992,                0.48298,                0.40083,                 0.1116,                0.38872,                0.53704,                 0.4035,                0.13887,                 2.9148,                 1.7449,                 1.5974,                0.85259,              0.0014624,              0.0014624,              0.0014624
                    126,                 2.1372,                 1.6911,                 1.3841,                 1.1048,                0.36681,                0.53202,                0.35512,                 0.1035,                0.34704,                0.44444,                0.37581,                0.12611,                 2.9805,                 1.6608,                 1.5381,                0.92645,              0.0014607,              0.0014607,              0.0014607
                    127,                 2.1411,                 1.6697,                  1.539,                 1.2026,                0.36681,                0.53202,                0.35512,                 0.1035,                0.34704,                0.44444,                0.37581,                0.12611,                 2.9805,                 1.6608,                 1.5381,                0.92645,              0.0014591,              0.0014591,              0.0014591
                    128,                  2.159,                 1.6857,                 1.3648,                 1.1377,                0.34895,                0.54957,                0.38144,                0.11085,                0.47927,                0.42593,                0.43875,                0.14503,                 2.9296,                 1.7356,                  1.515,                0.95495,              0.0014574,              0.0014574,              0.0014574
                    129,                 2.2403,                 1.5002,                 1.4659,                 1.1741,                0.34895,                0.54957,                0.38144,                0.11085,                0.47927,                0.42593,                0.43875,                0.14503,                 2.9296,                 1.7356,                  1.515,                0.95495,              0.0014558,              0.0014558,              0.0014558
                    130,                 2.3905,                 1.6759,                 1.4889,                 1.1447,                0.38982,                0.54172,                0.40092,                0.11413,                0.40067,                0.53704,                0.42106,                0.12663,                 2.8373,                 1.8099,                 1.5382,                0.87604,              0.0014541,              0.0014541,              0.0014541
                    131,                 2.0613,                 1.4754,                 1.4783,                 1.1553,                0.38982,                0.54172,                0.40092,                0.11413,                0.40067,                0.53704,                0.42106,                0.12663,                 2.8373,                 1.8099,                 1.5382,                0.87604,              0.0014525,              0.0014525,              0.0014525
                    132,                 2.1119,                 1.6434,                 1.3178,                 1.1292,                0.29568,                0.58975,                0.41628,                0.11157,                0.32506,                0.54668,                0.34928,                0.09193,                 2.8445,                 2.0471,                 1.7696,                0.84024,              0.0014508,              0.0014508,              0.0014508
                    133,                 2.1255,                 1.6869,                 1.4182,                 1.0843,                0.29568,                0.58975,                0.41628,                0.11157,                0.32506,                0.54668,                0.34928,                0.09193,                 2.8445,                 2.0471,                 1.7696,                0.84024,              0.0014492,              0.0014492,              0.0014492
                    134,                 2.3068,                 1.7937,                 1.5311,                 1.0893,                0.27631,                0.51852,                0.33281,                0.08282,                0.25021,                0.51852,                0.26862,                0.08062,                 2.8357,                 1.7979,                 1.9437,                0.85141,              0.0014475,              0.0014475,              0.0014475
                    135,                 2.1365,                 1.4255,                  1.435,                 1.1386,                0.27631,                0.51852,                0.33281,                0.08282,                0.25021,                0.51852,                0.26862,                0.08062,                 2.8357,                 1.7979,                 1.9437,                0.85141,              0.0014459,              0.0014459,              0.0014459
                    136,                 2.1868,                 1.5575,                 1.6067,                 1.1957,                0.31772,                    0.5,                0.38165,                0.09539,                0.26123,                0.46296,                0.26452,                0.08328,                 2.7586,                 1.8365,                 1.8575,                0.86032,              0.0014442,              0.0014442,              0.0014442
                    137,                 2.1003,                 1.5856,                    1.4,                 1.1839,                0.31772,                    0.5,                0.38165,                0.09539,                0.26123,                0.46296,                0.26452,                0.08328,                 2.7586,                 1.8365,                 1.8575,                0.86032,              0.0014426,              0.0014426,              0.0014426
                    138,                 1.9944,                    1.5,                 1.3551,                 1.1212,                0.33029,                0.48439,                0.42732,                0.13142,                 0.3356,                0.44444,                0.37294,                0.10319,                 2.6466,                 1.8813,                 1.6355,                0.86037,              0.0014409,              0.0014409,              0.0014409
                    139,                 1.9426,                  1.647,                 1.3551,                 1.1223,                0.33029,                0.48439,                0.42732,                0.13142,                 0.3356,                0.44444,                0.37294,                0.10319,                 2.6466,                 1.8813,                 1.6355,                0.86037,              0.0014393,              0.0014393,              0.0014393
                    140,                 2.0745,                 1.6475,                  1.526,                 1.1782,                0.33786,                0.65706,                 0.4217,                0.13705,                0.41541,                0.57407,                0.40387,                0.12216,                 2.5873,                 1.8925,                 1.5075,                0.88719,              0.0014376,              0.0014376,              0.0014376
                    141,                 2.2017,                 1.8796,                 1.4649,                 1.1366,                0.33786,                0.65706,                 0.4217,                0.13705,                0.41541,                0.57407,                0.40387,                0.12216,                 2.5873,                 1.8925,                 1.5075,                0.88719,               0.001436,               0.001436,               0.001436
                    142,                 2.1649,                 1.5285,                  1.632,                 1.1178,                0.40896,                0.57853,                0.45449,                 0.1489,                0.37899,                0.53704,                0.44054,                 0.1591,                 2.5955,                 1.7807,                 1.5085,                 0.8927,              0.0014343,              0.0014343,              0.0014343
                    143,                 1.9211,                 1.6525,                 1.5199,                  1.159,                0.40896,                0.57853,                0.45449,                 0.1489,                0.37899,                0.53704,                0.44054,                 0.1591,                 2.5955,                 1.7807,                 1.5085,                 0.8927,              0.0014327,              0.0014327,              0.0014327
                    144,                 2.0635,                 1.5937,                 1.4222,                 1.1264,                0.40471,                0.51852,                0.47282,                0.18677,                 0.3842,                0.54148,                0.47235,                0.19536,                 2.5289,                 1.7492,                 1.5099,                0.85201,               0.001431,               0.001431,               0.001431
                    145,                 2.2381,                 1.7674,                 1.4404,                 1.1089,                0.40471,                0.51852,                0.47282,                0.18677,                 0.3842,                0.54148,                0.47235,                0.19536,                 2.5289,                 1.7492,                 1.5099,                0.85201,              0.0014294,              0.0014294,              0.0014294
                    146,                 2.0635,                 1.4922,                 1.4292,                 1.1332,                0.47044,                    0.5,                0.50565,                0.19123,                0.43315,                0.46296,                0.50157,                0.18549,                 2.6065,                 1.7201,                 1.5911,                0.86483,              0.0014277,              0.0014277,              0.0014277
                    147,                 2.1346,                 1.5443,                 1.4368,                 1.1135,                0.47044,                    0.5,                0.50565,                0.19123,                0.43315,                0.46296,                0.50157,                0.18549,                 2.6065,                 1.7201,                 1.5911,                0.86483,              0.0014261,              0.0014261,              0.0014261
                    148,                 2.1713,                 1.7126,                 1.4204,                 1.1145,                0.47131,                0.59225,                0.54325,                 0.1847,                0.44632,                0.59938,                0.53004,                 0.1519,                 2.6531,                 1.6949,                 1.6082,                0.89656,              0.0014244,              0.0014244,              0.0014244
                    149,                 2.1101,                 1.6596,                 1.3544,                 1.1069,                0.47131,                0.59225,                0.54325,                 0.1847,                0.44632,                0.59938,                0.53004,                 0.1519,                 2.6531,                 1.6949,                 1.6082,                0.89656,              0.0014228,              0.0014228,              0.0014228
                    150,                 2.0993,                 1.5918,                 1.4617,                 1.1245,                0.50581,                0.66667,                0.57197,                0.17271,                0.45234,                0.64815,                0.53394,                0.15719,                 2.6667,                 1.6593,                 1.4741,                0.87635,              0.0014211,              0.0014211,              0.0014211
                    151,                 1.9935,                 1.6728,                 1.4067,                 1.1291,                0.50581,                0.66667,                0.57197,                0.17271,                0.45234,                0.64815,                0.53394,                0.15719,                 2.6667,                 1.6593,                 1.4741,                0.87635,              0.0014195,              0.0014195,              0.0014195
                    152,                 2.0129,                 1.7202,                 1.2838,                 1.1281,                0.54822,                0.61111,                0.62632,                0.18574,                0.53823,                0.67608,                 0.6524,                0.18584,                 2.6858,                 1.6258,                 1.3707,                0.88451,              0.0014178,              0.0014178,              0.0014178
                    153,                 2.2107,                 1.5318,                 1.3398,                 1.1694,                0.54822,                0.61111,                0.62632,                0.18574,                0.53823,                0.67608,                 0.6524,                0.18584,                 2.6858,                 1.6258,                 1.3707,                0.88451,              0.0014161,              0.0014161,              0.0014161
                    154,                  2.087,                 1.4986,                 1.3455,                 1.1155,                0.49406,                 0.5757,                0.56968,                0.15108,                0.50437,                0.61538,                0.59179,                 0.1617,                 2.7812,                 1.7662,                 1.3993,                0.79992,              0.0014145,              0.0014145,              0.0014145
                    155,                 2.1675,                 1.6048,                 1.3445,                 1.0753,                0.49406,                 0.5757,                0.56968,                0.15108,                0.50437,                0.61538,                0.59179,                 0.1617,                 2.7812,                 1.7662,                 1.3993,                0.79992,              0.0014128,              0.0014128,              0.0014128
                    156,                 2.1049,                 1.5359,                 1.3273,                  1.229,                0.34912,                0.59259,                 0.3951,                0.10182,                0.39592,                0.62992,                0.49561,                0.11302,                 2.8826,                 2.0078,                  1.465,                0.83411,              0.0014112,              0.0014112,              0.0014112
                    157,                 2.2687,                  1.806,                 1.5712,                 1.1943,                0.34912,                0.59259,                 0.3951,                0.10182,                0.39592,                0.62992,                0.49561,                0.11302,                 2.8826,                 2.0078,                  1.465,                0.83411,              0.0014095,              0.0014095,              0.0014095
                    158,                 2.2859,                 1.7981,                 1.4986,                 1.1347,                0.35178,                0.57407,                0.42279,                0.11623,                0.37643,                0.61245,                0.47033,                0.13992,                 2.8661,                   1.74,                 1.3981,                0.82563,              0.0014079,              0.0014079,              0.0014079
                    159,                 2.2241,                 1.6038,                 1.4729,                 1.3099,                0.35178,                0.57407,                0.42279,                0.11623,                0.37643,                0.61245,                0.47033,                0.13992,                 2.8661,                   1.74,                 1.3981,                0.82563,              0.0014062,              0.0014062,              0.0014062
                    160,                 2.2829,                 1.6197,                 1.4655,                 1.1387,                0.34174,                0.61077,                0.43152,                0.10098,                0.35434,                0.68634,                0.47423,                0.15473,                 2.8738,                 1.5881,                  1.401,                0.80444,              0.0014046,              0.0014046,              0.0014046
                    161,                 2.3154,                 2.0204,                 1.4087,                 1.0637,                0.34174,                0.61077,                0.43152,                0.10098,                0.35434,                0.68634,                0.47423,                0.15473,                 2.8738,                 1.5881,                  1.401,                0.80444,              0.0014029,              0.0014029,              0.0014029
                    162,                 2.2403,                 1.7828,                 1.4236,                 1.0444,                0.28397,                0.61429,                0.31479,                0.09335,                0.35325,                0.57407,                0.40831,                0.12221,                 2.8863,                 1.6436,                 1.5566,                0.83924,              0.0014013,              0.0014013,              0.0014013
                    163,                 2.2581,                 1.5113,                  1.395,                 1.0322,                0.28397,                0.61429,                0.31479,                0.09335,                0.35325,                0.57407,                0.40831,                0.12221,                 2.8863,                 1.6436,                 1.5566,                0.83924,              0.0013996,              0.0013996,              0.0013996
                    164,                  2.086,                 1.5349,                 1.4455,                 1.0832,                0.25511,                0.64815,                 0.3477,                0.09719,                0.39186,                0.62963,                0.44411,                0.11522,                 2.8441,                 1.8451,                 1.7029,                0.85461,               0.001398,               0.001398,               0.001398
                    165,                 2.2373,                 1.7232,                 1.4272,                 1.1243,                0.25511,                0.64815,                 0.3477,                0.09719,                0.39186,                0.62963,                0.44411,                0.11522,                 2.8441,                 1.8451,                 1.7029,                0.85461,              0.0013963,              0.0013963,              0.0013963
                    166,                 2.1923,                  1.811,                 1.4801,                 1.1617,                0.43773,                0.44444,                0.44658,                 0.1291,                0.41305,                0.72316,                0.50944,                0.13262,                 2.7462,                 1.7491,                   1.72,                0.84502,              0.0013947,              0.0013947,              0.0013947
                    167,                 2.1042,                 1.4242,                 1.4452,                 1.1301,                0.43773,                0.44444,                0.44658,                 0.1291,                0.41305,                0.72316,                0.50944,                0.13262,                 2.7462,                 1.7491,                   1.72,                0.84502,               0.001393,               0.001393,               0.001393
                    168,                 1.9531,                 1.6088,                 1.4352,                  1.098,                0.43409,                0.55233,                 0.5278,                 0.1665,                0.42934,                 0.6582,                0.54459,                0.14988,                 2.6539,                 1.5892,                 1.6952,                 0.7525,              0.0013914,              0.0013914,              0.0013914
                    169,                 1.9774,                 1.7536,                 1.4591,                 1.0433,                0.43409,                0.55233,                 0.5278,                 0.1665,                0.42934,                 0.6582,                0.54459,                0.14988,                 2.6539,                 1.5892,                 1.6952,                 0.7525,              0.0013897,              0.0013897,              0.0013897
                    170,                 2.1451,                  1.597,                 1.4265,                 1.0429,                0.46004,                0.55556,                0.53567,                0.17461,                0.50909,                0.55556,                0.56764,                0.15899,                 2.6525,                  1.616,                 1.6146,                0.74451,              0.0013881,              0.0013881,              0.0013881
                    171,                 2.1623,                 1.4795,                 1.3948,                 1.0621,                0.46004,                0.55556,                0.53567,                0.17461,                0.50909,                0.55556,                0.56764,                0.15899,                 2.6525,                  1.616,                 1.6146,                0.74451,              0.0013864,              0.0013864,              0.0013864
                    172,                 2.1777,                 1.4384,                 1.4296,                 1.0817,                0.51277,                    0.5,                0.59673,                0.19996,                0.45766,                0.58141,                0.50124,                0.14667,                 2.6704,                  1.919,                 1.4967,                0.75121,              0.0013848,              0.0013848,              0.0013848
                    173,                  2.337,                 1.6775,                 1.5718,                 1.0953,                0.51277,                    0.5,                0.59673,                0.19996,                0.45766,                0.58141,                0.50124,                0.14667,                 2.6704,                  1.919,                 1.4967,                0.75121,              0.0013831,              0.0013831,              0.0013831
                    174,                 2.0956,                 1.6872,                 1.4115,                 1.0488,                0.44064,                0.62963,                0.55364,                0.18811,                0.47672,                0.64248,                0.49915,                0.16031,                 2.7059,                 1.7457,                 1.5259,                0.77114,              0.0013815,              0.0013815,              0.0013815
                    175,                 1.9514,                  1.393,                 1.4037,                   1.08,                0.44064,                0.62963,                0.55364,                0.18811,                0.47672,                0.64248,                0.49915,                0.16031,                 2.7059,                 1.7457,                 1.5259,                0.77114,              0.0013798,              0.0013798,              0.0013798
                    176,                 2.0155,                 1.6283,                 1.3745,                 1.0779,                0.35122,                0.57063,                0.45552,                0.15679,                0.40701,                0.66946,                0.50154,                0.14655,                 2.7504,                 1.6492,                 1.5907,                0.82318,              0.0013782,              0.0013782,              0.0013782
                    177,                 2.0754,                 1.5843,                 1.3668,                 1.0563,                0.35122,                0.57063,                0.45552,                0.15679,                0.40701,                0.66946,                0.50154,                0.14655,                 2.7504,                 1.6492,                 1.5907,                0.82318,              0.0013765,              0.0013765,              0.0013765
                    178,                 2.1807,                 1.7531,                 1.4077,                 1.0649,                0.30465,                0.48542,                0.34079,                0.11128,                0.33513,                0.55556,                0.38807,                0.11191,                 2.9164,                 1.7853,                 1.6581,                0.91212,              0.0013749,              0.0013749,              0.0013749
                    179,                 2.1729,                  1.832,                  1.516,                 1.0568,                0.30465,                0.48542,                0.34079,                0.11128,                0.33513,                0.55556,                0.38807,                0.11191,                 2.9164,                 1.7853,                 1.6581,                0.91212,              0.0013732,              0.0013732,              0.0013732
                    180,                 2.2722,                 1.6331,                 1.4863,                 1.1017,                0.28923,                0.51852,                 0.3123,                 0.1025,                0.28136,                0.61111,                0.34759,                0.10118,                 3.0084,                 1.8681,                 1.8702,                0.97079,              0.0013716,              0.0013716,              0.0013716
                    181,                 2.1669,                 1.6793,                 1.4087,                 1.0493,                0.28923,                0.51852,                 0.3123,                 0.1025,                0.28136,                0.61111,                0.34759,                0.10118,                 3.0084,                 1.8681,                 1.8702,                0.97079,              0.0013699,              0.0013699,              0.0013699
                    182,                 2.3815,                 1.7779,                 1.4527,                0.99565,                0.34193,                0.57407,                0.36452,                0.09652,                0.27551,                    0.5,                0.31256,                0.08297,                 2.9952,                 2.0367,                 2.0498,                0.99512,              0.0013683,              0.0013683,              0.0013683
                    183,                  2.187,                 1.7854,                 1.4283,                 1.0775,                0.34193,                0.57407,                0.36452,                0.09652,                0.27551,                    0.5,                0.31256,                0.08297,                 2.9952,                 2.0367,                 2.0498,                0.99512,              0.0013666,              0.0013666,              0.0013666
                    184,                  2.128,                 1.6603,                 1.4465,                 1.1171,                0.39196,                0.51852,                0.44958,                0.13895,                0.40939,                0.69312,                0.47045,                0.14581,                 2.8039,                  1.936,                  1.744,                0.79456,               0.001365,               0.001365,               0.001365
                    185,                 1.9584,                 1.6936,                 1.3885,                 1.1522,                0.39196,                0.51852,                0.44958,                0.13895,                0.40939,                0.69312,                0.47045,                0.14581,                 2.8039,                  1.936,                  1.744,                0.79456,              0.0013633,              0.0013633,              0.0013633
                    186,                 2.2166,                 1.6682,                 1.4518,                  1.078,                0.40486,                0.57439,                0.44374,                0.13895,                0.48311,                0.66667,                0.53241,                0.20828,                 2.7382,                 1.6672,                 1.5381,                0.79726,              0.0013617,              0.0013617,              0.0013617
                    187,                 2.1204,                 1.5993,                 1.4158,                 1.0672,                0.40486,                0.57439,                0.44374,                0.13895,                0.48311,                0.66667,                0.53241,                0.20828,                 2.7382,                 1.6672,                 1.5381,                0.79726,                0.00136,                0.00136,                0.00136
                    188,                 2.0338,                 1.6209,                 1.3714,                 1.0852,                0.37681,                0.55556,                0.46842,                0.13924,                0.41474,                0.64393,                0.44517,                0.14881,                  2.742,                 1.6023,                 1.6168,                0.77651,              0.0013584,              0.0013584,              0.0013584
                    189,                 2.0873,                 1.6604,                 1.4912,                 1.0971,                0.37681,                0.55556,                0.46842,                0.13924,                0.41474,                0.64393,                0.44517,                0.14881,                  2.742,                 1.6023,                 1.6168,                0.77651,              0.0013567,              0.0013567,              0.0013567
                    190,                 2.0545,                 1.6462,                 1.4491,                 1.1119,                 0.3518,                0.56013,                0.44489,                0.11593,                0.34409,                0.64815,                0.35714,                0.10106,                 2.9087,                  1.992,                  1.788,                0.79257,              0.0013551,              0.0013551,              0.0013551
                    191,                 2.2334,                 1.7183,                 1.3741,                 1.0398,                 0.3518,                0.56013,                0.44489,                0.11593,                0.34409,                0.64815,                0.35714,                0.10106,                 2.9087,                  1.992,                  1.788,                0.79257,              0.0013534,              0.0013534,              0.0013534
                    192,                 2.0844,                 1.8768,                 1.4412,                 1.0269,                0.34418,                0.57407,                0.45237,                0.12432,                0.30022,                0.65097,                 0.3385,                0.10185,                 2.8519,                 1.9928,                 1.9015,                0.78566,              0.0013518,              0.0013518,              0.0013518
                    193,                 2.1312,                 1.5742,                 1.4314,                  1.072,                0.34418,                0.57407,                0.45237,                0.12432,                0.30022,                0.65097,                 0.3385,                0.10185,                 2.8519,                 1.9928,                 1.9015,                0.78566,              0.0013501,              0.0013501,              0.0013501
                    194,                 2.0029,                 1.8084,                 1.3135,                  1.048,                0.43063,                0.64815,                0.45244,                0.12129,                0.33449,                0.63735,                0.35945,                0.12834,                 2.8449,                 1.7235,                  1.999,                0.78679,              0.0013485,              0.0013485,              0.0013485
                    195,                  2.107,                 1.6815,                 1.4362,                 1.0309,                0.43063,                0.64815,                0.45244,                0.12129,                0.33449,                0.63735,                0.35945,                0.12834,                 2.8449,                 1.7235,                  1.999,                0.78679,              0.0013468,              0.0013468,              0.0013468
                    196,                 2.2599,                 1.3344,                 1.4597,                0.98353,                0.38711,                 0.6114,                0.46217,                0.12049,                0.32819,                0.62689,                0.32218,                0.12901,                 2.8391,                  1.715,                 2.0117,                0.82866,              0.0013452,              0.0013452,              0.0013452
                    197,                 2.0174,                 1.5555,                 1.3235,                 1.0485,                0.38711,                 0.6114,                0.46217,                0.12049,                0.32819,                0.62689,                0.32218,                0.12901,                 2.8391,                  1.715,                 2.0117,                0.82866,              0.0013435,              0.0013435,              0.0013435
                    198,                 2.0346,                 1.3641,                 1.3523,                 1.1055,                0.42617,                0.52689,                0.44574,                0.12198,                0.24658,                0.55556,                0.29489,                0.10375,                 2.8911,                 2.2783,                 2.1163,                0.87079,              0.0013419,              0.0013419,              0.0013419
                    199,                 2.0755,                  1.653,                 1.3962,                0.99001,                0.42617,                0.52689,                0.44574,                0.12198,                0.24658,                0.55556,                0.29489,                0.10375,                 2.8911,                 2.2783,                 2.1163,                0.87079,              0.0013402,              0.0013402,              0.0013402
                    200,                 2.0418,                 1.5749,                 1.2891,                 1.0243,                0.39937,                0.62963,                0.42566,                0.12855,                0.31234,                0.38889,                  0.303,                0.10263,                 2.8829,                  2.818,                 1.9516,                 0.8831,              0.0013386,              0.0013386,              0.0013386
                    201,                 2.0795,                 1.5189,                 1.4125,                 1.0747,                0.39937,                0.62963,                0.42566,                0.12855,                0.31234,                0.38889,                  0.303,                0.10263,                 2.8829,                  2.818,                 1.9516,                 0.8831,              0.0013369,              0.0013369,              0.0013369
                    202,                 1.9204,                 1.8969,                 1.3986,                 1.0974,                0.34077,                0.55556,                0.35291,                0.12085,                0.29074,                0.53704,                0.29281,                0.10017,                 2.8249,                 2.3375,                 1.9062,                0.87105,              0.0013353,              0.0013353,              0.0013353
                    203,                  1.989,                  1.767,                 1.2953,                0.99918,                0.34077,                0.55556,                0.35291,                0.12085,                0.29074,                0.53704,                0.29281,                0.10017,                 2.8249,                 2.3375,                 1.9062,                0.87105,              0.0013336,              0.0013336,              0.0013336
